二毛的少儿频道,#genre#
北京卫视,http://119.39.224.19:808/hls/32/index.m3u8
东方卫视,http://119.39.224.19:808/hls/33/index.m3u8
深圳卫视,http://119.39.224.19:808/hls/34/index.m3u8
四川卫视,http://182.150.31.44:808/hls/40/index.m3u8
湖南卫视,http://182.150.31.44:808/hls/41/index.m3u8
江苏卫视,http://182.150.31.44:808/hls/42/index.m3u8
浙江卫视,http://182.150.31.44:808/hls/43/index.m3u8
东方卫视,http://182.150.31.44:808/hls/44/index.m3u8
北京卫视,http://182.150.31.44:808/hls/45/index.m3u8
深圳卫视,http://182.150.31.44:808/hls/46/index.m3u8
广东卫视,http://182.150.31.44:808/hls/47/index.m3u8
天津卫视,http://182.150.31.44:808/hls/48/index.m3u8
山东卫视,http://182.150.31.44:808/hls/49/index.m3u8
江西卫视,http://182.150.31.44:808/hls/60/index.m3u8
东南卫视,http://182.150.31.44:808/hls/61/index.m3u8
黑龙江卫视,http://182.150.31.44:808/hls/62/index.m3u8
重庆卫视,http://182.150.31.44:808/hls/63/index.m3u8
贵州卫视,http://182.150.31.44:808/hls/64/index.m3u8
湖北卫视,http://182.150.31.44:808/hls/65/index.m3u8
安徽卫视,http://182.150.31.44:808/hls/66/index.m3u8
河北卫视,http://182.150.31.44:808/hls/67/index.m3u8
辽宁卫视,http://182.150.31.44:808/hls/68/index.m3u8
河南卫视,http://182.150.31.44:808/hls/69/index.m3u8
山西卫视,http://122.114.131.154:4060/hls/17/index.m3u8
浙江卫视,http://122.114.131.154:4060/hls/18/index.m3u8
东方卫视,http://122.114.131.154:4060/hls/19/index.m3u8
天津卫视,http://122.114.131.154:4060/hls/20/index.m3u8
厦门卫视,http://122.114.131.154:4060/hls/21/index.m3u8
山东卫视,http://122.114.131.154:4060/hls/22/index.m3u8
湖北卫视,http://122.114.131.154:4060/hls/23/index.m3u8
深圳卫视,http://122.114.131.154:4060/hls/24/index.m3u8
黑龙江卫视,http://122.114.131.154:4060/hls/25/index.m3u8
北京卫视,http://122.114.131.154:4060/hls/26/index.m3u8
湖南卫视,http://122.114.131.154:4060/hls/27/index.m3u8
江苏卫视,http://122.114.131.154:4060/hls/28/index.m3u8
辽宁卫视,http://122.114.131.154:4060/hls/29/index.m3u8
江西卫视,http://122.114.131.154:4060/hls/30/index.m3u8
四川卫视,http://122.114.131.154:4060/hls/31/index.m3u8

其它频道,#genre#

都市频道,http://125.40.199.223:8092/hls/53/index.m3u8
民生频道,http://125.40.199.223:8092/hls/54/index.m3u8
法制频道,http://125.40.199.223:8092/hls/55/index.m3u8
电视剧频道,http://125.40.199.223:8092/hls/56/index.m3u8
新闻频道,http://125.40.199.223:8092/hls/57/index.m3u8
公共频道,http://125.40.199.223:8092/hls/58/index.m3u8
乡村频道,http://125.40.199.223:8092/hls/59/index.m3u8
精彩中原,http://125.40.199.223:8092/hls/60/index.m3u8
移动戏曲,http://125.40.199.223:8092/hls/61/index.m3u8
文物宝库,http://125.40.199.223:8092/hls/62/index.m3u8
梨园频道,http://125.40.199.223:8092/hls/63/index.m3u8
武术世界,http://125.40.199.223:8092/hls/64/index.m3u8
新乡综合频道,http://125.40.199.223:8092/hls/65/index.m3u8
新乡公共频道,http://125.40.199.223:8092/hls/66/index.m3u8
原阳电视台,http://125.40.199.223:8092/hls/67/index.m3u8
中央一台,http://119.39.224.19:808/hls/1/index.m3u8
中央二台,http://119.39.224.19:808/hls/2/index.m3u8
中央三台,http://119.39.224.19:808/hls/3/index.m3u8
中央四台,http://119.39.224.19:808/hls/4/index.m3u8
中央五台,http://119.39.224.19:808/hls/5/index.m3u8
中央六台,http://119.39.224.19:808/hls/7/index.m3u8
中央七台,http://119.39.224.19:808/hls/8/index.m3u8
中央八台,http://119.39.224.19:808/hls/9/index.m3u8
中央九台,http://119.39.224.19:808/hls/10/index.m3u8
中央十台,http://119.39.224.19:808/hls/11/index.m3u8
中央十一台,http://119.39.224.19:808/hls/12/index.m3u8
中央十二台,http://119.39.224.19:808/hls/13/index.m3u8
中央十三台,http://119.39.224.19:808/hls/14/index.m3u8
中央十四台,http://119.39.224.19:808/hls/15/index.m3u8
中央十五台,http://119.39.224.19:808/hls/16/index.m3u8
中央十七台,http://119.39.224.19:808/hls/17/index.m3u8
湖南经视,http://119.39.224.19:808/hls/19/index.m3u8
湖南都市,http://119.39.224.19:808/hls/20/index.m3u8
湖南电视剧,http://119.39.224.19:808/hls/21/index.m3u8
湖南电影,http://119.39.224.19:808/hls/22/index.m3u8
湖南娱乐,http://119.39.224.19:808/hls/23/index.m3u8
湖南公共,http://119.39.224.19:808/hls/24/index.m3u8
湖南国际,http://119.39.224.19:808/hls/25/index.m3u8
金鹰卡通,http://119.39.224.19:808/hls/26/index.m3u8
湖南教育,http://119.39.224.19:808/hls/27/index.m3u8
长沙新闻,http://119.39.224.19:808/hls/28/index.m3u8
长沙政法,http://119.39.224.19:808/hls/29/index.m3u8
CCTV-少儿-高清,http://182.150.31.44:808/hls/14/index.m3u8
四川经济,http://182.150.31.44:808/hls/50/index.m3u8
四川文化旅游,http://182.150.31.44:808/hls/51/index.m3u8
四川新闻,http://182.150.31.44:808/hls/52/index.m3u8
动作影院,http://122.114.131.154:4060/hls/32/index.m3u8
经典电影,http://122.114.131.154:4060/hls/36/index.m3u8
喜剧影院,http://122.114.131.154:4060/hls/37/index.m3u8
星影,http://122.114.131.154:4060/hls/38/index.m3u8
军事,http://122.114.131.154:4060/hls/39/index.m3u8
法制,http://122.114.131.154:4060/hls/40/index.m3u8
