山西移动组播少儿,#genre#
文物宝库HD,http://60.220.163.42:4000/rtp/226.0.2.110:8792
快乐垂钓HD,http://60.220.163.42:4000/rtp/226.0.2.214:9624
生活时尚HD,http://60.220.163.42:4000/rtp/226.0.2.84:8584
中国天气HD,http://60.220.163.42:4000/rtp/226.0.2.103:8736
乐游HD,http://60.220.163.42:4000/rtp/226.0.2.77:8528
北京纪实科教HD,http://60.220.163.42:4000/rtp/226.0.2.141:9040
东方财经HD,http://60.220.163.42:4000/rtp/226.0.2.76:8520
都市剧场HD,http://60.220.163.42:4000/rtp/226.0.2.81:8560
九屏测试HD,http://60.220.163.42:4000/rtp/226.0.2.197:9488
四海钓鱼HD,http://60.220.163.42:4000/rtp/226.0.2.123:8896
金色学堂HD,http://60.220.163.42:4000/rtp/226.0.2.182:9368

教育频道,#genre#
大同教育HD,http://60.220.163.42:4000/rtp/226.0.2.232:9772
CETV1HD,http://60.220.163.42:4000/rtp/226.0.2.181:9360
CETV早期教育HD,http://60.220.163.42:4000/rtp/226.0.2.99:8704
山东教育卫视HD,http://60.220.163.42:4000/rtp/226.0.2.130:8952
